,rat,gtyp,age,sex,vessel_idx,power_empa,power_vehicle,power_ratio,power_change
162,20240820a,fa/+,Young,M,11,8.886794453344972,10.324356876524153,0.8607600996002032,-1.4375624231791804
163,20240820a,fa/+,Young,M,12,5.816033406911162,8.8521640152581,0.6570182609457202,-3.036130608346939
164,20240820a,fa/+,Young,M,13,5.903334912914913,10.34525312542242,0.570632235030389,-4.441918212507508
165,20240820a,fa/+,Young,M,14,6.392506265398207,9.739954490446104,0.6563178782476448,-3.3474482250478967
166,20240820a,fa/+,Young,M,15,13.709463284100371,26.697498256877317,0.5135111594423942,-12.988034972776946
167,20240820a,fa/+,Young,M,16,12.198835034055758,21.2014967331105,0.575376124979175,-9.002661699054741
168,20240820a,fa/+,Young,M,17,15.891740711812435,24.869847917287352,0.6389962964255154,-8.978107205474917
169,20240820a,fa/+,Young,M,18,11.51162220136768,23.01615220948128,0.500154069915543,-11.5045300081136
170,20240820a,fa/+,Young,M,19,13.75284107808534,12.312936922924663,1.1169423805363456,1.4399041551606757
173,20240820a,fa/+,Young,M,22,8.658767816378983,13.663868521566446,0.6336981216346137,-5.005100705187463
174,20240820a,fa/+,Young,M,23,5.347849027759531,13.687377487872276,0.39071392839848257,-8.339528460112746
175,20240820a,fa/+,Young,M,24,9.23825483757832,12.098361731922555,0.7635955216318585,-2.860106894344236
176,20240820a,fa/+,Young,M,25,5.477494002598795,11.541549876584842,0.4745891202802298,-6.064055873986047
177,20240820a,fa/+,Young,M,26,4.921838150411692,12.460825569885602,0.39498491675434616,-7.5389874194739095
179,20240820a,fa/+,Young,M,28,5.604442848166838,5.179442734368103,1.082055181531143,0.4250001137987347
180,20240820b,fa/fa,Young,M,0,6.511256953648159,12.861765839965676,0.5062490667817613,-6.350508886317517
181,20240820b,fa/fa,Young,M,1,7.010020176894001,6.680391853686321,1.0493426628897207,0.32962832320767976
182,20240820b,fa/fa,Young,M,2,4.8973720316984215,9.21743094028106,0.5313163790895828,-4.320058908582639
183,20240820b,fa/fa,Young,M,3,7.592041877175672,20.755820148481625,0.36577893925001376,-13.163778271305954
184,20240820b,fa/fa,Young,M,4,8.159764618127523,7.6951888784075155,1.0603722334904078,0.4645757397200079
185,20240820b,fa/fa,Young,M,5,6.81532648826132,5.06326736649775,1.3460333012150345,1.75205912176357
186,20240820b,fa/fa,Young,M,6,12.379887213674532,17.883634007076303,0.6922467328942197,-5.5037467934017705
187,20240820b,fa/fa,Young,M,7,8.649005863942254,20.86866244974942,0.4144494590761904,-12.219656585807165
188,20240820b,fa/fa,Young,M,8,3.9299373133652873,4.155308046465679,0.9457631707251928,-0.2253707331003918
189,20240820b,fa/fa,Young,M,9,6.999253217217062,13.42287802044192,0.5214420638076115,-6.4236248032248575
190,20240820b,fa/fa,Young,M,10,8.359125690070949,11.126714763119724,0.7512662873122133,-2.767589073048775
191,20240820b,fa/fa,Young,M,11,8.516715422130769,14.156635688119495,0.601605890676282,-5.639920265988726
192,20240820b,fa/fa,Young,M,12,6.788509576499055,10.983879461299791,0.6180429783864114,-4.195369884800736
194,20240820b,fa/fa,Young,M,14,7.613991069144942,42.973014695465785,0.1771807522256128,-35.35902362632084
195,20240820b,fa/fa,Young,M,15,5.018218412853422,9.307335063194976,0.5391681269429653,-4.289116650341555
196,20240820b,fa/fa,Young,M,16,7.2938702537899935,23.165539654199907,0.31485863755682536,-15.871669400409914
