,rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change
627,20240823b,fa/fa,Young,F,9,Empa,51.1673698425293,-6.771312713623047
656,20240826a,fa/+,Young,M,0,Empa,52.06534957885742,-13.716781616210938
657,20240826a,fa/+,Young,M,10,Empa,60.16227340698242,-14.946174621582031
658,20240826a,fa/+,Young,M,12,Empa,51.34960174560547,-13.12405014038086
659,20240826a,fa/+,Young,M,13,Empa,49.8900032043457,-11.676025390625
660,20240826a,fa/+,Young,M,14,Empa,46.9583625793457,-12.51117706298828
661,20240826a,fa/+,Young,M,15,Empa,41.37409591674805,-9.01467514038086
662,20240826a,fa/+,Young,M,16,Empa,40.482398986816406,-9.197952270507812
663,20240826a,fa/+,Young,M,17,Empa,44.840946197509766,-9.834033966064451
664,20240826a,fa/+,Young,M,18,Empa,50.24031448364258,-11.782054901123049
665,20240826a,fa/+,Young,M,19,Empa,44.04785537719727,-9.868335723876951
666,20240826a,fa/+,Young,M,1,Empa,54.5720329284668,-16.373992919921875
