,rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change
529,20240822b,fa/+,Young,M,20,Vehicle,54.07352828979492,-0.1345176696777343
530,20240822b,fa/+,Young,M,21,Vehicle,48.96064376831055,0.12261962890625
531,20240822b,fa/+,Young,M,23,Vehicle,65.37750244140625,-0.6198043823242188
532,20240822b,fa/+,Young,M,24,Vehicle,51.43758773803711,1.3924560546875
533,20240822b,fa/+,Young,M,25,Vehicle,48.320899963378906,0.4659004211425781
534,20240822b,fa/+,Young,M,26,Vehicle,60.96449661254883,-0.8536033630371094
535,20240822b,fa/+,Young,M,27,Vehicle,56.69473648071289,-0.2254447937011718
536,20240822b,fa/+,Young,M,28,Vehicle,61.16724395751953,-1.219097137451172
537,20240822b,fa/+,Young,M,29,Vehicle,56.21297454833984,-0.5137176513671875
538,20240822b,fa/+,Young,M,2,Vehicle,57.99013137817383,-0.2380599975585937
539,20240822b,fa/+,Young,M,30,Vehicle,55.7672004699707,0.4871330261230469
540,20240822b,fa/+,Young,M,31,Vehicle,59.05828475952149,0.6973037719726562
541,20240822b,fa/+,Young,M,32,Vehicle,47.98577880859375,0.0259361267089843
542,20240822b,fa/+,Young,M,33,Vehicle,73.5965576171875,1.0280838012695312
543,20240822b,fa/+,Young,M,3,Vehicle,62.23738479614258,-0.8069267272949219
544,20240822b,fa/+,Young,M,4,Vehicle,69.34883117675781,0.1445846557617187
545,20240822b,fa/+,Young,M,5,Vehicle,59.80411148071289,-1.8875045776367188
546,20240822b,fa/+,Young,M,6,Vehicle,62.36787796020508,0.1605072021484375
547,20240822b,fa/+,Young,M,7,Vehicle,57.23227310180664,0.2946052551269531
548,20240822b,fa/+,Young,M,8,Vehicle,64.91942596435547,-1.922157287597656
549,20240822b,fa/+,Young,M,9,Vehicle,62.7846565246582,0.00677490234375
574,20240823a,fa/fa,Young,F,0,Vehicle,48.52177047729492,5.892810821533203
575,20240823a,fa/fa,Young,F,10,Vehicle,60.20183563232422,5.630821228027344
576,20240823a,fa/fa,Young,F,11,Vehicle,56.31273651123047,4.846897125244141
577,20240823a,fa/fa,Young,F,12,Vehicle,50.159645080566406,2.792343139648437
578,20240823a,fa/fa,Young,F,13,Vehicle,55.29241943359375,6.538215637207031
579,20240823a,fa/fa,Young,F,14,Vehicle,53.25373077392578,3.8263893127441406
580,20240823a,fa/fa,Young,F,15,Vehicle,45.39927673339844,3.135318756103516
581,20240823a,fa/fa,Young,F,16,Vehicle,43.0498275756836,2.902191162109375
582,20240823a,fa/fa,Young,F,17,Vehicle,49.90264892578125,3.869403839111328
583,20240823a,fa/fa,Young,F,18,Vehicle,53.04079055786133,2.8161697387695312
